firma1,beziehung,firma2
Mitteldt. Umwelt- und Entsorgungs GmbH,hat die Muttergesellschaft,Mitteldeutsche Umwelt- und Entsorgung GmbH
Mitteldt. Umwelt- und Entsorgungs GmbH,hat den Betreiber,MUEG
Mitteldt. Umwelt- und Entsorgungs GmbH,hat die Muttergesellschaft,Mitteldeutsche Umwelt- und Entsorgung GmbH
Mitteldt. Umwelt- und Entsorgungs GmbH,hat die Muttergesellschaft,Mitteldeutsche Umwelt- und Entsorgung GmbH
VERBIO Diesel Bitterfeld GmbH & Co. KG,hat die Muttergesellschaft,Verbio Diesel Bitterfeld GmbH & Co. KG
MVV TREA Leuna GmbH,hat die Muttergesellschaft,MVV Energie AG
Nordzucker AG Werk Klein Wanzleben,hat die Muttergesellschaft,Nordzucker AG
OTC Oberflächentechnik Calbe GmbH & Co KG,hat die Muttergesellschaft,"Konzern: Kopf Holding GmbH, Siemensstraße 27, 73230   Schlierbach"
"PCI Augsburg GmbH, Werk Wittenberg",hat die Muttergesellschaft,BASF SE
"PCI Augsburg GmbH, Werk Wittenberg",hat den Betreiber,PCI Augsburg GmbH
REMONDIS Industrie Service GmbH & Co. KG Niederlassung Ziepel,hat die Muttergesellschaft,REMONDIS AG & Co. KG
REMONDIS Industrie Service GmbH & Co. KG Niederlassung Ziepel,hat den Betreiber,REMONDIS Industrie Service GmbH & Co. KG
Hexion Specialty Chemicals Leuna GmbH,hat die Muttergesellschaft,"Hexion Specialty Chemicals Inc.,(New Jersey, USA)"
Hexion Specialty Chemicals Leuna GmbH,hat den Betreiber,"Dr. Uwe Wustmann, Robert Anthony Nosal, Nicolas Jose Ivandic"
Schwaneberger Agro GmbH,hat die Muttergesellschaft,Schwaneberger Schweinemast GmbH
SCORI GmbH,hat die Muttergesellschaft,Teris S.A.S Lafarge Zement GmbH
SCORI GmbH,hat den Betreiber,Scori GmbH
"SIG Combibloc GmbH, Werk 4 Wittenberg",hat die Muttergesellschaft,SIG Combibloc Vermögensverwaltungs-GmbH
"SIG Combibloc GmbH, Werk 4 Wittenberg",hat den Betreiber,SIG Combibloc GmbH
SITA Abfallverwertung GmbH,hat die Muttergesellschaft,SITA Deutschland GmbH Stadtwerke Gera
SOLVAY INTEROX BITTERFELD GmbH,hat den Betreiber,Dr. Paul Deschrijver
Solvay Chemicals GmbH,hat die Muttergesellschaft,SOLVAY CHEMICALS GmbH
