firma1,beziehung,firma2
Cytec Surface Specialities Germany GmbH Industriepark Kalle-Albert,hat den Betreiber,Cytec Surface Specialties Germany GmbH
Metallveredelungsgesellschaft  mbH,hat den Betreiber,Walter Stickel
"Hochwald Nahrungsmittel-Werke GmbH, Betrieb Hungen",hat die Muttergesellschaft,Hochwald Nahrungmittelwerke GmbH
"Hochwald Nahrungsmittel-Werke GmbH, Betrieb Hungen",hat den Betreiber,Hochwald Nahrungsmittel-Werke GmbH
Schwenk Dämmtechnik GmbH&CO.KG Werk  Wiesbaden,hat die Muttergesellschaft,Schwenk Dämmtechnik GmbH&CO.KG
Schwenk Dämmtechnik GmbH&CO.KG Werk  Wiesbaden,hat den Betreiber,Schwenk Dämmtechnik GmbH&Co.KG
LSL-Rhein-Main Geflügelvermehrungsbetriebe GmbH & Co. KG,hat den Betreiber,LSL-Rhein-Main Geflügelvermehrungsbetriebe GmbH & Co KG
Merck KGaA,hat den Betreiber,Werk Darmstadt
Teclac Werner GmbH,hat die Muttergesellschaft,TECLAC Werner GmbH
Energieversorgung SCA-Packaging B+T Energie GmbH,hat die Muttergesellschaft,B+T Energie GmbH
Karo As Umwelt GmbH,hat den Betreiber,Karo As Umweltschutz GmbH
Licher Privatbrauerei Ihring-Melchior GmbH,hat den Betreiber,Licher Privatbrauerei Jhring-Melchior GmbH
Kläranlage Wiesbaden-Biebrich,hat die Muttergesellschaft,Entsorgungsbetriebe der LHST Wiesbaden
Frankfurter Entsorgungs- u. Service GmbH - Schielestra ße,hat die Muttergesellschaft,Frankfurter Entsorgungs- und Service GmbH
Frankfurter Entsorgungs- u. Service GmbH - Schielestra ße,hat den Betreiber,Frankfurter Entsorgungs-und Service GmbH
Goab GmbH GOAB gGmbH Recycling-Zentrum,hat die Muttergesellschaft,Goab GmbH Goab GmbH
Goab GmbH GOAB gGmbH Recycling-Zentrum,hat den Betreiber,GOAB gGmbH Recycling-Zentrum
Pfleiderer Holzwerkstoffe Nidda GmbH & Co. KG,hat die Muttergesellschaft,Pfleiderer AG
Zwischenlager Ruhl,hat die Muttergesellschaft,FAEKAL Entsorgungstechnik Ruhl GmbH & Co. KG
"Clariant Produkte (Deutschland) GmbH Standort Rhein-Main, Betriebsteil Wiesbaden",hat die Muttergesellschaft,Clariant Verwaltungsgesellschaft mbH + Clariant AG
"Clariant Produkte (Deutschland) GmbH Standort Rhein-Main, Betriebsteil Wiesbaden",hat den Betreiber,Clariant Produkte (Deutschland) GmbH
MEGAL GmbH Verdichterstation Gernsheim,hat die Muttergesellschaft,Megal GmbH & Co. KG Mittel-Europäische-Gasleitungsgesellschaft mbH & Co KG
MEGAL GmbH Verdichterstation Gernsheim,hat den Betreiber,Megal GmbH & Co. KG
WeylChem Höchst GmbH Standort Industriepark Höchst,hat die Muttergesellschaft,WeylChem Höchst GmbH
Franz Schlaffer Metallveredelung Inh. Marianne Martin e. Kfr.,hat den Betreiber,Franz Schlaffer Metallveredelung
Trockenstabilatanlage Aßlar(Lager Beilstein),hat die Muttergesellschaft,Trockenstabilat-Anlage Aßlar GmbH & Co. KG
Radeberger Gruppe KG,hat den Betreiber,Radeberger Gruppe
Decoma Exterior Systems GmbH Innoplas,hat die Muttergesellschaft,Magna Holding (Germany) GmbH
Decoma Exterior Systems GmbH Innoplas,hat den Betreiber,Decoma Exterior Systems GmbH
Werk Werra Standort Wintershall,hat die Muttergesellschaft,K+S AG
Werk Werra Standort Wintershall,hat den Betreiber,K+S KALI GmbH
"Marburger Rohstoffverwertung, Johannes Völker GmbH",hat den Betreiber,Michael Völker
Zwischenlager für Straßenaufbruch Hermannstein stillgelegten nördlichen Endstück A 480,hat die Muttergesellschaft,Amt für Straßen- und Verkehrswesen Marburg
ThyssenKrupp Nirosta GmbH,hat die Muttergesellschaft,ThyssenKrupp AG
Abfallwirtschaftszentrum Heppenheim,hat die Muttergesellschaft,Zweckverband Abfallwirtschaft Kreis Bergstraße
Industriepark Hanau-Wolfgang GmbH,hat die Muttergesellschaft,Evonik Degussa GmbH
"HIM, Werk Kassel",hat die Muttergesellschaft,HIM GmbH
GAB Werk Borken Herr Fröhlich,hat die Muttergesellschaft,GAB - Gesellschaft zur Aufbereitung von Baustoffen mbH
GAB Werk Borken Herr Fröhlich,hat den Betreiber,GAB mbH
Werk Werra Untertage-Deponie Herfa-Neurode,hat die Muttergesellschaft,K+S AG
Werk Werra Untertage-Deponie Herfa-Neurode,hat den Betreiber,K+S KALI GmbH
Donau Carbon GmbH & Co. KG,hat die Muttergesellschaft,Donau Chemie
Donau Carbon GmbH & Co. KG,hat den Betreiber,Donau Carbon
Baufeld-Oel GmbH,hat die Muttergesellschaft,Puralube Services GmbH
HKW Blumenthal,hat die Muttergesellschaft,AWG mbH
HKW Blumenthal,hat den Betreiber,BREWA WTE GmbH
Hirsch Bremer Reinigungs und Recycling GmbH,hat den Betreiber,Hirsch Bremer Reinigung und Recycling GmbH
"F. Schottke, Zweigniederlassung der Frosta AG z. Hd. Herrn Eichtmayer",hat die Muttergesellschaft,"F. Schottke, Zweigniederlassung der Frosta AG"
BREGAL Galvanisierungsanlage GmbH,hat die Muttergesellschaft,ArcelorMittal Bremen GmbH / BREGAL Galvanisierungsanlage GmbH
"Daimler AG , Mercedes Benz Werk Bremen",hat die Muttergesellschaft,"DaimlerAG,  Mercedes Benz Werk Bremen"
"Daimler AG , Mercedes Benz Werk Bremen",hat den Betreiber,Daimler AG
hanseWasser Bremen GmbH / Kläranlage Farge,hat die Muttergesellschaft,hanseWasser Ver- und EntsorgungsGmbH
hanseWasser Bremen GmbH / Kläranlage Farge,hat den Betreiber,hanseWasser Bremen GmbH
hanseWasser Bremen GmbH / Kläranlage Seehausen,hat die Muttergesellschaft,hanseWasser Ver- und EntsorgungsGmbH
hanseWasser Bremen GmbH / Kläranlage Seehausen,hat den Betreiber,hanseWasser Bremen GmbH
Zentralkläranlage Bremerhaven,hat die Muttergesellschaft,Bremerhavener Entsorgungsgesellschaft mbH
Müllheizkraftwerk Bremerhaven,hat die Muttergesellschaft,Bremerhavener Entsorgungsgesellschaft mbH
Niederlassung Nehlsen-Plump Betriebsstätte Märtens,hat die Muttergesellschaft,Nehlsen GmbH & Co.KG
Niederlassung Nehlsen-Plump Betriebsstätte Märtens,hat den Betreiber,Niederlassung Nehlsen-Plump
Rickmers Lloyd Dockbetrieb GmbH & Co. KG,hat die Muttergesellschaft,Lloyd Werft Bremerhaven GmbH
Müllheizkraftwerk Bremen,hat die Muttergesellschaft,swb Entsorgung GmbH
"Nehlsen GmbH & Co.KG, NL Nehlsen-Plump",hat den Betreiber,Nehlsen GmbH
swb Erzeugung GmbH & Co. KG Mittelkalorik-Kraftwerk,hat den Betreiber,swb Erzeugung GmbH & Co. KG
swb Erzeugung GmbH & Co KG / Heizkraftwerk Hafen,hat den Betreiber,swb Erzeugung GmbH & Co.KG
swb Erzeugung GmbH & Co KG / Kraftwerk Mittelsbüren,hat den Betreiber,swb Erzeugung GmbH & Co.KG
swb Erzeugung GmbH & Co KG / Heizkraftwerk Hastedt,hat den Betreiber,swb Erzeugung GmbH & Co.KG
"Nehlsen GmbH & Co.KG, Niederlassung Nehlsen-Plump Betriebsstätte Bremen, Standort Schadstoffentsorgung Nord",hat den Betreiber,Nehlsen GmbH & Co. KG
Reiner Brach GmbH & Co.KG,hat den Betreiber,Reiner Brach GmbH & Co. KG
Optima Entsorgungs-GmbH,hat den Betreiber,Optima_Entsorgungs-GmbH
Zipfel GmbH & Co. KG,hat den Betreiber,Delf Ludewig
Inbev Deutschland / Brauerei Beck & CO. GmbH,hat den Betreiber,InBevDeutschland / Brauerei Beck&Co GmbH & Co KG
KNG Kraftwerks- und Netzgesellschaft mbH Kraftwerk Rostock,hat die Muttergesellschaft,KNG Kraftwerks- und Netzgesellschaft mbH
Peene-Werft Wolgast,hat die Muttergesellschaft,P+S WERFTEN GmbH
Stadtwerke Rostock AG,hat den Betreiber,Stadwerke Rostock AG
GGAB Agrarbetrieb Groß Grenz GmbH,hat den Betreiber,GGAG Agrarbetrieb Groß Grenz GmbH
Eisengießerei Torgelow,hat die Muttergesellschaft,Eisengießerei Torgelow GmbH
ALBA Nord GmbH,hat die Muttergesellschaft,"ALBA Nord GmbH Herr Hochgräfe, Herr Berndt"
ALBA Nord GmbH,hat den Betreiber,Thermische Abfallverwertungsanlage
Deponie Sudenhof,hat die Muttergesellschaft,"Landkreis Ludwigslust FD 64, Tiefbau und Bauförderung Herr Wenzel"
Deponie Sudenhof,hat den Betreiber,Landkreis Ludwigslust
IAG Ihlenberger Abfallentsorgungsgesellschaft mbH,hat die Muttergesellschaft,IAG Ihlenberger Abfallentsorgungsgesellschaft mbH Herr Naeve
IAG Ihlenberger Abfallentsorgungsgesellschaft mbH,hat den Betreiber,IAG mbH
emv Entsorgungsgesellschaft mbH für Mecklenburg-Vorpommern,hat die Muttergesellschaft,REMONDIS Industrie Service GmbH & Co. KG
Ferkelproduktion Groß Roge,hat die Muttergesellschaft,Ferkelproduktion Groß Roge Inhaber H. Stadtbäumer
Ferkelproduktion Groß Roge,hat den Betreiber,"Stadtbäumer, Hendrik"
Biopetrol Rostock GmbH,hat die Muttergesellschaft,Biopetrol Industrie AG
Herr Middendorf Schweinemast Wilmshagen,hat die Muttergesellschaft,Herr Middendorf
Herr Middendorf Schweinemast Wilmshagen,hat den Betreiber,Middendorf
Deponie Paarsch,hat die Muttergesellschaft,Landkreis Parchim Frau Hahn
Deponie Paarsch,hat den Betreiber,Landkreis Parchim
Deponie MTW,hat die Muttergesellschaft,Wadan Yards MTW GmbH Herr Scharf
Deponie MTW,hat den Betreiber,Wadan Yards MTW GmbH
STENA Technoworld GmbH Betriebsstätte Langhagen,hat die Muttergesellschaft,STENA Technoworld GmbH
"DANONE GmbH, Werk Hagenow",hat die Muttergesellschaft,DANONE GmbH Herr Rosenbaum
"DANONE GmbH, Werk Hagenow",hat den Betreiber,Danone GmbH
Deponie Bockup,hat die Muttergesellschaft,"Landkreis Ludwigslust FD 64, Tiefbau und Bauförderung Herr Wenzel"
Deponie Bockup,hat den Betreiber,Landkreis Ludwigslust
Deponie Kloddram,hat die Muttergesellschaft,"Landkreis Ludwigslust FD 64, Tiefbau und Bauförderung Herr Wenzel"
Deponie Kloddram,hat den Betreiber,Landkreis Ludwigslust
Agro Energy GmbH Biogasanlage,hat die Muttergesellschaft,Agro Energy GmbH Herr Sönke Egge
Agro Energy GmbH Biogasanlage,hat den Betreiber,Herr Sönke Egge
EGGER Holzwerkstoffe Wismar GmbH & Co. KG,hat den Betreiber,Egger Holzwerkstoffe Wismar GmbH & Co. KG
Franziska Stolle GmbH & Co. Brenz KG,hat die Muttergesellschaft,Franziska Stolle GmbH & Co. Brenz KG Frau Stolle-Beneke
Franziska Stolle GmbH & Co. Brenz KG,hat den Betreiber,Franziska Stolle Gmbh & Co.Brenz KG
Gut Bothmer Elmenhorst -Scheibler KG,hat die Muttergesellschaft,Gut Bothmer Elmenhorst - Scheibler KG
ecoMotion GmbH Oelmuehle Sternberg,hat die Muttergesellschaft,"Five Q GmbH & Co. KG Werner Str. 95,  59379 Selm"
ecoMotion GmbH Oelmuehle Sternberg,hat den Betreiber,ecoMotion GmbH Sternberg
Seehafen Wismar GmbH,hat die Muttergesellschaft,Seehafen Wismar GmbH GF Herr Michael Kremp
Gießerei für Nichteisenmetalle Mecklenburger Metallguß GmbH,hat die Muttergesellschaft,Mecklenburger Metallguß GmbH
Parumer Bioenergie GmbH & Co. KG,hat die Muttergesellschaft,Parumer Bioenergie GmbH & Co. KG Herr Lüken
Parumer Bioenergie GmbH & Co. KG,hat den Betreiber,Gottfried Lüken
"ReFood GmbH, NL Kogel Dorfstr. 40, 19246 Kogel",hat die Muttergesellschaft,"SARIA Bio-Industries GmbH Selm Werner Str.95, 59379 Selm"
"ReFood GmbH, NL Kogel Dorfstr. 40, 19246 Kogel",hat den Betreiber,ReFood GmbH Kogel
MUT Umwelttechnik GmbH,hat die Muttergesellschaft,MUT Umwelttechnik GmbH Herr Rosien
Langgaard Svineproduktion A/S,hat die Muttergesellschaft,Langgaard Svineprodution A/S Herr Bo Elgaard
Langgaard Svineproduktion A/S,hat den Betreiber,Pätrower Schweineproduktion GmbH
Mecklenburgische Brauerei Lübz GmbH,hat die Muttergesellschaft,Mecklenburgische Brauerei Lübz GmbH Herr Horn
Mecklenburgische Brauerei Lübz GmbH,hat den Betreiber,Carsten Kyster
Quickhof GmbH & Co.KG Standort Wendisch Priborn,hat die Muttergesellschaft,Quickhof GmbH & Co KG GF J. Straathof
Quickhof GmbH & Co.KG Standort Wendisch Priborn,hat den Betreiber,Quickhof GmbH & Co. KG
ABA Rosenow,hat die Muttergesellschaft,Ostmecklenburgisch-Vorpommersche Abfallbe- handlungs- und entsorgungsgesellschaft mbH (ABG)
ABA Rosenow,hat den Betreiber,ABG mbH
Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,hat die Muttergesellschaft,Tierzucht Gut Losten GmbH & Co. KG Herr Neteler
Tierzucht Gut Losten GmbH & Co. KG Schweinemast- und Sauenanlage,hat den Betreiber,Tierzucht Gut Losten GmbH & Co. KG
WeHaFri-Geflügelmast GmbH & Co.KG,hat die Muttergesellschaft,"WeHaFri-Geflügelmast GmbH & Co. KG Visbek, LK Vechta"
Heizkraftwerk,hat die Muttergesellschaft,InfraTec 3. Umwelttechnologie GmbH & Co. Heizkraftwerk Betriebs KG i.I.
Kläranlage Stavenhagen,hat die Muttergesellschaft,Zweckverband Wasser/Abwasser Malchin-Stavenhagen
Kläranlage Stavenhagen,hat den Betreiber,WasserZweckVerband Malchin Stavenhagen
Käserei Altentreptow,hat die Muttergesellschaft,Humana Milchindustrie GmbH
Schweinemast Stavenhagen GmbH,hat die Muttergesellschaft,Schweinemast Stavenhagen
Schweinemastanlage,hat die Muttergesellschaft,Groß Kelle Svineproduktion GmbH
Siedlungsabfalldeponie Rosenow,hat die Muttergesellschaft,Ostmecklenburgisch Vorpommersche Verwertungs u. Deponie GmbH
Siedlungsabfalldeponie Rosenow,hat den Betreiber,OVVD GmbH
"Landkreis Nordvorpommern Eigenbetrieb ""Zentrum für Abfallwirtschaft NVP "" Deponie Camitz",hat die Muttergesellschaft,Landkreis Nordvorpommern Eigenbetrieb Zentrum für Abfallwirtschaft       Nordvorpommern
"Landkreis Nordvorpommern Eigenbetrieb ""Zentrum für Abfallwirtschaft NVP "" Deponie Camitz",hat den Betreiber,Eigenbetrieb Zentrum für Abfallwirtschaft Nordvorpommern
folian GmbH,hat den Betreiber,folian gmbh
"Schweriner Abwasserentsorgung, Eigenbetrieb der Landesha",hat die Muttergesellschaft,"Schweriner Abwasserentsorgung, Eigenbetrieb der      Landesha Wasserversorguns- und Abwassergesellschaft Schwerin mbH"
"Schweriner Abwasserentsorgung, Eigenbetrieb der Landesha",hat den Betreiber,"Schweriner Abwasserentsorgung, Eigenbetrieb der Landeshauüptstadt Schwerin"
Gut Kobrow GmbH & Co. KG Schweinemastanlage Kobrow 2,hat die Muttergesellschaft,Gut Kobrow GmbH & Co. KG
Gut Kobrow GmbH & Co. KG Schweinemastanlage Kobrow 2,hat den Betreiber,Gut Kobrow GmbH & Co.KG
Fernwärme Greifswald GmbH Heizkraftwerk Helmshäger Berg,hat die Muttergesellschaft,Fernwärme Greifswald GmbH
Quickhof Woeten GmbH & Co.KG Standort Woeten,hat die Muttergesellschaft,Quickhof GmbH & Co. KG GF J. Straathof
Quickhof Woeten GmbH & Co.KG Standort Woeten,hat den Betreiber,Qickhof Woeten GmbH & Co.KG
Gut Klenz Westhues KG,hat den Betreiber,Hubert & Ute Westhues
H+V Schweinemast GmbH Schweinemastanlage Warin,hat die Muttergesellschaft,H+V Schweinemast GmbH
H.u.V. Schweinezucht GmbH Radegast Schweinezuchtanlage Radegast,hat die Muttergesellschaft,H.u.V. Schweinezucht GmbH Radegast
H.u.V. Schweinezucht GmbH Radegast Schweinezuchtanlage Radegast,hat den Betreiber,H.u.V. Schweinezucht GmbH
Zuchtschweineanlage,hat die Muttergesellschaft,Zuchtschwein GmbH Gültz
Sauenzuchtanlage Ballin Sauenzuchtanlage Ballin,hat die Muttergesellschaft,Saatzucht Steinach GmbH & Co. KG Saatzucht Steinach GmbH & Co. KG
Sauenzuchtanlage Ballin Sauenzuchtanlage Ballin,hat den Betreiber,Saatzucht Steinach GmbH & Co. KG
Schweinemastanlage Bornhof Schweinemastanlage Bornhof,hat die Muttergesellschaft,Saatzucht Steinach GmbH & Co. KG Saatzucht Steinach GmbH & Co. KG
Schweinemastanlage Bornhof Schweinemastanlage Bornhof,hat den Betreiber,Saatzucht Steinach GmbH & Co. KG
Rücker's Ostsee-Molkerei Wismar GmbH,hat die Muttergesellschaft,Rücker's Ostsee-Molkerei Wismar GmbH Herr Rücker
Schweinemastanlage Ballin1 und 2 Schweinemastanlage Ballin1 und 2,hat die Muttergesellschaft,Saatzucht Steinach GmbH & Co KG Saatzucht Steinach GmbH & Co KG
Schweinemastanlage Ballin1 und 2 Schweinemastanlage Ballin1 und 2,hat den Betreiber,Saatzucht Steinach GmbH & Co KG
Jackon GmbH Wismar,hat den Betreiber,Herr Dr. Tank
MV Babyporc GmbH agri.capital Biogas Gnoien GmbH für 0002,hat die Muttergesellschaft,MV Babyporc GmbH
YARA Rostock Zweigniederlassung der YARA GmbH & Co. KG,hat den Betreiber,YARA GmbH & Co. KG
Meckl. Kartoffelveredlung GmbH,hat die Muttergesellschaft,Meckl. Kartoffelveredlung GmbH Hauptgeschäftsführer Herrn Lemke
Agrarprodukte Göhlen eG,hat die Muttergesellschaft,Agrarprodukte Göhlen eG Herr Wegewitz
Agrarprodukte Göhlen eG,hat den Betreiber,Agrarprdukte Göhlen e.G.
Gemischte Tierhaltungsanlage Agrargesellschaft Hohen Wangelin mbH & Co. KG,hat die Muttergesellschaft,Agrargesellschaft Hohen Wangelin mbH & Co. KG
Gemischte Tierhaltungsanlage Agrargesellschaft Hohen Wangelin mbH & Co. KG,hat den Betreiber,Müritz Fleischproduktionsgesellschaft mbH & Co. KG
Beketaler Schweinemast GmbH,hat die Muttergesellschaft,Beketaler Schweinmast GmbH
"Veolia Umweltservice Nord GmbH NL Mecklenburg-Vorpommern, CPB Güstrow",hat die Muttergesellschaft,Veolia Umweltservice Nord GmbH
"Geflügelhof Möckern, Bassin Mast",hat die Muttergesellschaft,Geflügelhof Möckern Zweigniederlassung der Lohmann & Co. AG
"Geflügelhof Möckern, Bassin Mast",hat den Betreiber,"Geflügelhof Möckern, ZNL der Lohmann & Co. AG"
Volkswerft Stralsund GmbH,hat den Betreiber,P+S Werften GmbH
Fuhse Transport GmbH,hat den Betreiber,Fuhse Transport-GmbH
Hähnchenmast Pribbenow,hat die Muttergesellschaft,Broilermast GmbH Pribbenow
Umweltschutz Ost GmbH NL Langhagen,hat die Muttergesellschaft,Umweltschutz Ost GmbH
Vattenfall Europe New Energy Ecopower GmbH Betriebsstätte HKW Rostock,hat die Muttergesellschaft,Vattenfall Europe New Energy Ecopower GmbH
Heizkraftwerk Neubrandenburg,hat die Muttergesellschaft,Neubrandenburger Stadtwerke GmbH
SAINT-GOBAIN ISOVER G+H AG Werk Lübz,hat die Muttergesellschaft,SAINT-GOBAIN ISOVER G+H AG
Altholzrecyclinganlage (HAA) Malchin,hat die Muttergesellschaft,envia THERM GmbH
Hopman GmbH Wanzlitz,hat die Muttergesellschaft,Hopman GmbH Wanzlitz Herr Hopmann
Hopman GmbH Wanzlitz,hat den Betreiber,Hopman GmbH
Nordic Yards Warnemünde GmbH,hat den Betreiber,Vitali Yusufov
Nordic Yards Wimar GmbH,hat die Muttergesellschaft,"Nordic Yards Wismar GmbH Herr Yusufov, Herr Voigt"
Nordic Yards Wimar GmbH,hat den Betreiber,Nordic Yards Wismar GmbH
EBS-HKW Stavenhagen,hat die Muttergesellschaft,Nehlsen Heizkraftwerke GmbH & Co. KG
Gut Tier- und Pflanzenproduktion GmbH Rövershagen Schweineanlage,hat die Muttergesellschaft,Gut Tier- und Pflanzenproduktion GmbH Rövershagen
WIMEX Agrarprodukte Import & Export,hat die Muttergesellschaft,WIMEX Agrarprodukte Import & Export GmbH
Eurawasser Nord GmbH,hat den Betreiber,EURAWASSER Nord GmbH
Deponie Stralendorf,hat die Muttergesellschaft,Stadtwirtschaftliche Dienstleistungen Schwerin Herr Matlachowski
Deponie Stralendorf,hat den Betreiber,Stadtwirtschaftliche Dienstleistungen Schwerin
Hansa-Milch AG,hat die Muttergesellschaft,Hansa-Milch AG Herr Remus
Gießerei Ueckermünde,hat die Muttergesellschaft,MAT Foundries Europe GmbH Zweigniederlassung der MAT Foundries Europe GmbH
Gießerei Ueckermünde,hat den Betreiber,Jörg Hünike
Schweinemastanlage Minzow,hat die Muttergesellschaft,Agrar GmbH Minzow
Schweinemastanlage Böckermann,hat die Muttergesellschaft,Schweinemast Böckermann Dolgen KG
Schweineaufzucht,hat die Muttergesellschaft,Andresen GbR
Schweinemast E. Schulze Roberg Schweinemastanlage Engelswacht,hat die Muttergesellschaft,Schweinemast E. Schulze Roberg
Karrenziner Schweinemast GmbH Schweinemastanlage,hat die Muttergesellschaft,Karrenziner Schweinemast GmbH
Hopman GmbH Wanzlitz,hat die Muttergesellschaft,Hopman GmbH Wanzlitz Herr Hopmann
Hopman GmbH Wanzlitz,hat den Betreiber,Hopman GmbH
Schweineaufzucht,hat die Muttergesellschaft,AMK AGRARMAST GmbH
Sauenzuchtanlage Parkentin Johannes Wübbel,hat den Betreiber,Sauenzuchtanlage Parkentin
Schweinemastanlage Alt Zachun GmbH,hat die Muttergesellschaft,Schweinemastanlage Alt Zachun GmbH Herr Jacob Eriksen
Schweinemast Tützpatz,hat die Muttergesellschaft,Hofverwaltung Tützpatz
Agrarproduktgesellschaft mbH Lübesse Hähnchenmast / Rinderanlage Mirow,hat die Muttergesellschaft,Agrarproduktgesellschaft mbH Lübesse Herr Glödnitz
Agrarproduktgesellschaft mbH Lübesse Hähnchenmast / Rinderanlage Mirow,hat den Betreiber,agp-GmbH
Agp-GmbH Agrarproduktgesellschaft,hat die Muttergesellschaft,agp-GmbH Agrarproduktgesellschaft
Agp-GmbH Agrarproduktgesellschaft,hat den Betreiber,agp-GmbH
"Siedlungsabfalldeponie ""Stern""",hat die Muttergesellschaft,Deponiegesellschaft Ostvorpommern mbH
OTTO DÖRNER Entsorgung GmbH,hat die Muttergesellschaft,"OTTO DÖRNER Entsorgung GmbH Niederlassung Nord-Ost Herr Dr. Tilmann Quensell, Herr Enno Simonis"
OTTO DÖRNER Entsorgung GmbH,hat den Betreiber,Otto Dörner Entsorgung GmbH
Power Oil GmbH Rostock,hat die Muttergesellschaft,Power Oil Rostock GmbH
"Nehlsen GmbH & Co. KG Niederlassung Nehlsen Plump, Betriebsstätte Rostock",hat die Muttergesellschaft,Nehlsen GmbH & Co. KG
Woosmerhofer Landerzeugergesellschaft mbH,hat die Muttergesellschaft,Woosmerhofer Landerzeugergesellschaft mbH Herr Petersen
Woosmerhofer Landerzeugergesellschaft mbH,hat den Betreiber,Woosmerhofer Landerzeuger GmbH
Anlage zur Behandlung oder Verarbeitung von Milch,hat die Muttergesellschaft,Müritz-Milch GmbH
Anlage zur Behandlung oder Verarbeitung von Milch,hat den Betreiber,Holger Lüers
GER Umweltschutz GmbH,hat die Muttergesellschaft,"GER Umweltschutz GmbH Herr Herrmann, Herr Krolow"
Deponie Neu Degtow,hat die Muttergesellschaft,Landkreis Nordwestmecklenburg Fachdienst Umwelt Herr Scholz
Deponie Neu Degtow,hat den Betreiber,Deponie Degtow
Deponie Nevern,hat die Muttergesellschaft,Landkreis Nordwestmecklenburg Fachdienst Umwelt Herr Scholz
GbR Müller-Paul-Viebrock,hat die Muttergesellschaft,GbR Müller-Paul-Viebrock Herr Müller
ROSOMA GmbH Rostocker Sondermaschinen- und Anlagenbau,hat den Betreiber,Rosoma GmbH
Gutshof-Ei Banzkow GmbH,hat die Muttergesellschaft,Gutshof-Ei Banzkow GmbH Herr Baron von Meerheimb
Vietlübbe Biogas GmbH Biogasanlage,hat die Muttergesellschaft,Vietlübbe Biogas GmbH
Schweinezucht Klein Laasch GmbH Schweinemast- und Sauenanlage,hat die Muttergesellschaft,Schweinezucht Klein Laasch GmbH
KG Nordmark Landei GmbH & Co.KG,hat die Muttergesellschaft,KG Nordmark Landei GmbH & Co. Herr Hans-Thomas Freiherr von Meerheimb
KG Nordmark Landei GmbH & Co.KG,hat den Betreiber,KG Nordmark Landei GmbH & Co.
Landwirtschaftliche Erzeugergemeinschaft für Eier aus Bo,hat die Muttergesellschaft,Landwirtschaftliche Erzeugergemeinschaft für Eier aus      Bo Herr Hans-Thomas Freiherr von Meerheimb
Deponie Neustadt-Glewe,hat die Muttergesellschaft,Grundstückssanierungsgesellschaft Nordost mbH Herr Tilgner
Deponie Neustadt-Glewe,hat den Betreiber,Grudstückssanierungsgesellschaft Nordost mbH
Deponie Wanzlitz,hat die Muttergesellschaft,"Landkreis Ludwigslust FD 64, Tiefbau und Bauförderung Herr Wenzel"
Deponie Wanzlitz,hat den Betreiber,Landkreis Ludwigslust
Deponie Plau,hat die Muttergesellschaft,Stadt Plau Frau Herling
Deponie Plau,hat den Betreiber,Stadt Plau
Neu Kaliß Spezialpapier,hat die Muttergesellschaft,"Neu Kaliß Spezialpapier GmbH Herr Fender, Herr Kirchner"
Neu Kaliß Spezialpapier,hat den Betreiber,Neu Kaliss Spezialpapier GmbH
VION Anklam GmbH,hat die Muttergesellschaft,VION Food Hamburg GmbH
Legehennenanlage Bresewitz,hat die Muttergesellschaft,Friedländer Immobilien- und Beteiligungs- gesellschaft mbH & Co. KG
Neubukow Pork GmbH,hat die Muttergesellschaft,Neubukow Pork GmbH GF Herr Drescher
Neubukow Pork GmbH,hat den Betreiber,----------
BLL GmbH & Co Agrar KG,hat die Muttergesellschaft,BLL GmbH & Co Agrar KG Frau Städter
Gut Herzberg Kruse KG Schweinemastanlage Herzberg,hat die Muttergesellschaft,Gut Herzberg Kruse KG Herr Kruse
Gut Herzberg Kruse KG Schweinemastanlage Herzberg,hat den Betreiber,Gut Herzberg Kruse KG
Deponie Flugplatz Parchim,hat die Muttergesellschaft,Landkreis Parchim Frau Hahn
Deponie Flugplatz Parchim,hat den Betreiber,Landkreis Parchim
Agrar - Produkte e.G. Spornitz gemischte Tierhaltungsanlage Spornitz,hat die Muttergesellschaft,Agrar - Produkte e.G. Spornitz
Agrar - Produkte e.G. Spornitz gemischte Tierhaltungsanlage Spornitz,hat den Betreiber,Agrar-Produkte eG Spornitz
Junghennenaufzuchtanlage Dishley,hat die Muttergesellschaft,Friedländer Immobilien- und Beteiligungs- gesellschaft mbH & Co. KG
Junghennenaufzuchtanlage Dishley,hat den Betreiber,Friedländer Immobilien- und Beteiligungs-
MA-Ba-Tech GmbH,hat die Muttergesellschaft,Maier-Barlen-Metallverarbeitungs GmbH (Ma-Ba-Tech GmbH) Buchholz i.d.Nordheide
MA-Ba-Tech GmbH,hat den Betreiber,Herr Axel Damen
Geflügelhof Schwanheide GmbH,hat die Muttergesellschaft,Geflügelhof Schwanheide GmbH Herr Robbe
Hähnchenmastanlage Parchim,hat die Muttergesellschaft,"Hof Parchim KG Herr Hardkop, Herr Ziemann"
Hähnchenmastanlage Parchim,hat den Betreiber,Hof Parchim KG
"Bulk Terminal Rostock GmbH Pier III, LP 22-23",hat die Muttergesellschaft,Bulk Terminal Rostock GmbH
Dr. Gey & Söhne GbR Sauenanlage Vogelsang,hat die Muttergesellschaft,Dr. Gey & Söhne GbR Gut Vogelsang
Dr. Gey & Söhne GbR Sauenanlage Vogelsang,hat den Betreiber,Dr.Gey & Söhne GbR
